burstiness_target,burstiness_measured,scv_target,scv_measured,rate_per_lane,loss_probability,arrivals_measured,drops_measured
-0.7625,-0.7636355473231063,0.13475177304964542,0.13402114344749633,1.04,0.03946,100000,3946
-0.64375,-0.6432317414078089,0.21673003802281365,0.2171137823120045,0.86,0.0,100000,0
-0.64375,-0.6459376947897467,0.21673003802281365,0.21511282373023322,0.875,0.0,100000,0
-0.64375,-0.642574236277046,0.21673003802281365,0.21760098011342996,0.89,0.0,100000,0
-0.64375,-0.6444118976470864,0.21673003802281365,0.21624028800917117,0.905,0.0,100000,0
-0.64375,-0.6456437503758953,0.21673003802281365,0.21532986683367117,0.92,0.0,100000,0
-0.64375,-0.6393144919624534,0.21673003802281365,0.2200221554838836,0.935,0.0,100000,0
-0.64375,-0.6471787059249915,0.21673003802281365,0.21419733803374885,0.95,0.0,100000,0
-0.64375,-0.644005694271773,0.21673003802281365,0.2165407984708458,0.9650000000000001,0.0,100000,0
-0.64375,-0.6432659517205113,0.21673003802281365,0.2170884438431805,0.98,0.0,100000,0
-0.64375,-0.6420399955815999,0.21673003802281365,0.21799712880416966,0.995,0.0,100000,0
-0.64375,-0.6427433145131287,0.21673003802281365,0.21747565936237212,1.01,0.00978,100000,978
-0.64375,-0.6428720513747029,0.21673003802281365,0.21738025692655977,1.0250000000000001,0.02314,100000,2314
-0.64375,-0.6444392431761791,0.21673003802281365,0.21622006303928104,1.04,0.03949,100000,3949
-0.525,-0.5238049073659229,0.3114754098360656,0.31250397628475723,0.86,0.0,100000,0
-0.525,-0.5276862207545012,0.3114754098360656,0.3091693652982156,0.875,0.0,100000,0
-0.525,-0.5249926932872195,0.3114754098360656,0.3114816935213451,0.89,0.0,100000,0
-0.525,-0.524669568498611,0.3114754098360656,0.31175963718450916,0.905,0.0,100000,0
-0.525,-0.5272967228051747,0.3114754098360656,0.3095032354463608,0.92,0.0,100000,0
-0.525,-0.5215989239347438,0.3114754098360656,0.31440681807801624,0.935,0.0,100000,0
-0.525,-0.5272467657309075,0.3114754098360656,0.3095460700110523,0.95,0.0,100000,0
-0.525,-0.526361390831052,0.3114754098360656,0.31030567990917796,0.9650000000000001,0.0,100000,0
-0.525,-0.5233273776023868,0.3114754098360656,0.3129154175301853,0.98,0.0,100000,0
-0.525,-0.5271151962175765,0.3114754098360656,0.3096588947275782,0.995,0.0,100000,0
-0.525,-0.524153876905617,0.3114754098360656,0.31220346600466614,1.01,0.01072,100000,1072
-0.525,-0.5217085601175765,0.3114754098360656,0.31431211758805366,1.0250000000000001,0.02447,100000,2447
-0.525,-0.5226436017235531,0.3114754098360656,0.313505010454255,1.04,0.04054,100000,4054
-0.40625,-0.4031891820942649,0.4222222222222222,0.42532455745916803,0.86,0.0,100000,0
-0.40625,-0.4035449851630929,0.4222222222222222,0.42496323320025164,0.875,0.0,100000,0
-0.40625,-0.40533119883002966,0.4222222222222222,0.42315206669078836,0.89,0.0,100000,0
-0.40625,-0.4092833668318659,0.4222222222222222,0.41916100556561053,0.905,0.0,100000,0
-0.40625,-0.4058707998816171,0.4222222222222222,0.4226058327468017,0.92,0.0,100000,0
-0.40625,-0.40538801567861843,0.4222222222222222,0.42309453167939665,0.935,0.0,100000,0
-0.40625,-0.4059033222773265,0.4222222222222222,0.4225729239762639,0.95,0.0,100000,0
-0.40625,-0.4054611444121748,0.4222222222222222,0.42302048544820303,0.9650000000000001,0.0,100000,0
-0.40625,-0.408831746959338,0.4222222222222222,0.4196159366202333,0.98,0.0,100000,0
-0.40625,-0.40585524891212876,0.4222222222222222,0.4226215690040842,0.995,0.0,100000,0
-0.40625,-0.40444602133473645,0.4222222222222222,0.4240490340093454,1.01,0.00971,100000,971
-0.40625,-0.40328706697845573,0.4222222222222222,0.4252251353718957,1.0250000000000001,0.0214,100000,2140
-0.40625,-0.40485998730836864,0.4222222222222222,0.4236294136555812,1.04,0.03857,100000,3857
-0.2875000000000001,-0.2865889092843171,0.553398058252427,0.5544980883696004,0.86,0.0,100000,0
-0.2875000000000001,-0.28889251749049105,0.553398058252427,0.5517197693831404,0.875,0.0,100000,0
-0.2875000000000001,-0.2862255062788913,0.553398058252427,0.5549372876192532,0.89,0.0,100000,0
-0.2875000000000001,-0.29156154186392524,0.553398058252427,0.5485131255253136,0.905,0.0,100000,0
-0.2875000000000001,-0.2866082040608829,0.553398058252427,0.5544747761497711,0.92,0.0,100000,0
-0.2875000000000001,-0.2852449087886646,0.553398058252427,0.5561236510829579,0.935,0.0,100000,0
-0.2875000000000001,-0.2882113980618472,0.553398058252427,0.5525402142917383,0.95,0.0,100000,0
-0.2875000000000001,-0.2897114851657478,0.553398058252427,0.5507344262681891,0.9650000000000001,0.0,100000,0
-0.2875000000000001,-0.28470560421618385,0.553398058252427,0.5567768938162505,0.98,0.0,100000,0
