n_lane,egress_symbols_per_beat,burstiness,ready_duty,rho_lane,opq_loss_probability,time_merger_loss_probability,loss_ratio_clipped
8,2,0.14000000,0.88450000,0.00750000,1.000000000000e-12,1.216675384364e-02,1000000.0000000000
8,2,0.15000000,0.88450000,0.00750000,1.000000000000e-12,1.272139625478e-02,1000000.0000000000
8,2,0.16000000,0.88450000,0.00750000,1.000000000000e-12,1.330551615986e-02,1000000.0000000000
8,2,0.17000000,0.88450000,0.00750000,1.000000000000e-12,1.392086330924e-02,1000000.0000000000
8,2,0.18000000,0.88450000,0.00750000,1.000000000000e-12,1.456929855514e-02,1000000.0000000000
8,2,0.19000000,0.88450000,0.00750000,1.000000000000e-12,1.525280098059e-02,1000000.0000000000
8,2,0.20000000,0.88450000,0.00750000,1.000000000000e-12,1.597347544207e-02,1000000.0000000000
8,2,0.21000000,0.88450000,0.00750000,1.000000000000e-12,1.673356053984e-02,1000000.0000000000
8,2,0.22000000,0.88450000,0.00750000,1.000000000000e-12,1.753543702829e-02,1000000.0000000000
8,2,0.23000000,0.88450000,0.00750000,1.000000000000e-12,1.838163667669e-02,1000000.0000000000
8,2,0.24000000,0.88450000,0.00750000,1.000000000000e-12,1.927485158787e-02,1000000.0000000000
8,2,0.25000000,0.88450000,0.00750000,1.000000000000e-12,2.021794397951e-02,1000000.0000000000
8,2,0.26000000,0.88450000,0.00750000,1.000000000000e-12,2.121395642832e-02,1000000.0000000000
8,2,0.27000000,0.88450000,0.00750000,1.000000000000e-12,2.226612257276e-02,1000000.0000000000
8,2,0.28000000,0.88450000,0.00750000,1.000000000000e-12,2.337787826398e-02,1000000.0000000000
8,2,0.29000000,0.88450000,0.00750000,1.000000000000e-12,2.455287314775e-02,1000000.0000000000
8,2,0.30000000,0.88450000,0.00750000,1.000000000000e-12,2.579498265201e-02,1000000.0000000000
8,2,0.31000000,0.88450000,0.00750000,1.000000000000e-12,2.710832034490e-02,1000000.0000000000
8,2,0.32000000,0.88450000,0.00750000,1.000000000000e-12,2.849725061728e-02,1000000.0000000000
8,2,0.33000000,0.88450000,0.00750000,1.000000000000e-12,2.996640163076e-02,1000000.0000000000
8,2,0.34000000,0.88450000,0.00750000,1.000000000000e-12,3.152067845794e-02,1000000.0000000000
8,2,0.35000000,0.88450000,0.00750000,1.000000000000e-12,3.316527632476e-02,1000000.0000000000
8,2,0.36000000,0.88450000,0.00750000,1.000000000000e-12,3.490569384678e-02,1000000.0000000000
8,2,0.37000000,0.88450000,0.00750000,1.000000000000e-12,3.674774613012e-02,1000000.0000000000
8,2,0.38000000,0.88450000,0.00750000,1.000000000000e-12,3.869757758573e-02,1000000.0000000000
8,2,0.39000000,0.88450000,0.00750000,1.000000000000e-12,4.076167428025e-02,1000000.0000000000
8,2,0.40000000,0.88450000,0.00750000,1.000000000000e-12,4.294687562060e-02,1000000.0000000000
8,2,0.41000000,0.88450000,0.00750000,1.000000000000e-12,4.526038514067e-02,1000000.0000000000
8,2,0.42000000,0.88450000,0.00750000,1.000000000000e-12,4.770978012907e-02,1000000.0000000000
8,2,0.43000000,0.88450000,0.00750000,1.000000000000e-12,5.030301980603e-02,1000000.0000000000
8,2,0.44000000,0.88450000,0.00750000,1.000000000000e-12,5.304845172722e-02,1000000.0000000000
8,2,0.45000000,0.88450000,0.00750000,1.000000000000e-12,5.595481606221e-02,1000000.0000000000
8,2,0.46000000,0.88450000,0.00750000,1.000000000000e-12,5.903124736757e-02,1000000.0000000000
8,2,0.47000000,0.88450000,0.00750000,1.000000000000e-12,6.228727345050e-02,1000000.0000000000
8,2,0.48000000,0.88450000,0.00750000,1.000000000000e-12,6.573281089975e-02,1000000.0000000000
8,2,0.49000000,0.88450000,0.00750000,1.000000000000e-12,6.937815684934e-02,1000000.0000000000
8,2,0.50000000,0.88450000,0.00750000,1.000000000000e-12,7.323397653914e-02,1000000.0000000000
8,2,0.51000000,0.88450000,0.00750000,1.000000000000e-12,7.731128624801e-02,1000000.0000000000
8,2,0.52000000,0.88450000,0.00750000,1.000000000000e-12,8.162143120239e-02,1000000.0000000000
8,2,0.53000000,0.88450000,0.00750000,1.000000000000e-12,8.617605811084e-02,1000000.0000000000
