implementation,n_lane,egress_symbols_per_beat,ready_duty,burstiness,rho_lane,effective_load,loss_probability
opq,4,1,1.000000,-0.06666667,0.00833333,0.0313193675,1.000000000000e-12
opq,4,1,1.000000,-0.05000000,0.00833333,0.0317856895,1.000000000000e-12
opq,4,1,1.000000,-0.03333333,0.00833333,0.0322759807,1.000000000000e-12
opq,4,1,1.000000,-0.01666667,0.00833333,0.0327914387,1.000000000000e-12
opq,4,1,1.000000,0.00000000,0.00833333,0.0333333333,1.000000000000e-12
opq,4,1,1.000000,0.01666667,0.00833333,0.0339030129,1.000000000000e-12
opq,4,1,1.000000,0.03333333,0.00833333,0.0345019104,1.000000000000e-12
opq,4,1,1.000000,0.05000000,0.00833333,0.0351315516,1.000000000000e-12
opq,4,1,1.000000,0.06666667,0.00833333,0.0357935628,1.000000000000e-12
opq,4,1,1.000000,0.08333333,0.00833333,0.0364896805,1.000000000000e-12
opq,4,1,1.000000,0.10000000,0.00833333,0.0372217616,1.000000000000e-12
opq,4,1,1.000000,0.11666667,0.00833333,0.0379917945,1.000000000000e-12
opq,4,1,1.000000,0.13333333,0.00833333,0.0388019127,1.000000000000e-12
opq,4,1,1.000000,0.15000000,0.00833333,0.0396544087,1.000000000000e-12
opq,4,1,1.000000,0.16666667,0.00833333,0.0405517502,1.000000000000e-12
opq,4,1,1.000000,0.18333333,0.00833333,0.0414965986,1.000000000000e-12
opq,4,1,1.000000,0.20000000,0.00833333,0.0424918293,1.000000000000e-12
opq,4,1,1.000000,0.21666667,0.00833333,0.0435405545,1.000000000000e-12
opq,4,1,1.000000,0.23333333,0.00833333,0.0446461501,1.000000000000e-12
opq,4,1,1.000000,0.25000000,0.00833333,0.0458122847,1.000000000000e-12
opq,4,1,1.000000,0.26666667,0.00833333,0.0470429536,1.000000000000e-12
opq,4,1,1.000000,0.28333333,0.00833333,0.0483425173,1.000000000000e-12
opq,4,1,1.000000,0.30000000,0.00833333,0.0497157453,1.000000000000e-12
opq,4,1,1.000000,0.31666667,0.00833333,0.0511678666,1.000000000000e-12
opq,4,1,1.000000,0.33333333,0.00833333,0.0527046277,1.000000000000e-12
opq,4,1,1.000000,0.35000000,0.00833333,0.0543323592,1.000000000000e-12
opq,4,1,1.000000,0.36666667,0.00833333,0.0560580537,1.000000000000e-12
opq,4,1,1.000000,0.38333333,0.00833333,0.0578894552,1.000000000000e-12
opq,4,1,1.000000,0.40000000,0.00833333,0.0598351645,1.000000000000e-12
opq,4,1,1.000000,0.41666667,0.00833333,0.0619047619,1.000000000000e-12
opq,4,1,1.000000,0.43333333,0.00833333,0.0641089519,1.000000000000e-12
opq,4,1,1.000000,0.45000000,0.00833333,0.0664597339,1.000000000000e-12
opq,4,1,1.000000,0.46666667,0.00833333,0.0689706057,1.000000000000e-12
opq,4,1,1.000000,0.48333333,0.00833333,0.0716568047,1.000000000000e-12
opq,4,1,1.000000,0.50000000,0.00833333,0.0745355992,1.000000000000e-12
opq,4,1,1.000000,0.51666667,0.00833333,0.0776266391,1.000000000000e-12
opq,4,1,1.000000,0.53333333,0.00833333,0.0809523810,1.000000000000e-12
opq,4,1,1.000000,0.55000000,0.00833333,0.0845386090,1.000000000000e-12
opq,4,1,1.000000,0.56666667,0.00833333,0.0884150751,1.000000000000e-12
opq,4,1,1.000000,0.58333333,0.00833333,0.0926162933,1.000000000000e-12
opq,4,1,1.000000,0.60000000,0.00833333,0.0971825316,1.000000000000e-12
opq,4,1,1.000000,0.61666667,0.00833333,0.1021610640,1.000000000000e-12
opq,4,1,1.000000,0.63333333,0.00833333,0.1076077631,1.000000000000e-12
opq,4,1,1.000000,0.65000000,0.00833333,0.1135891471,1.000000000000e-12
opq,4,1,1.000000,0.66666667,0.00833333,0.1201850425,1.000000000000e-12
opq,4,1,1.000000,0.68333333,0.00833333,0.1274920863,1.000000000000e-12
opq,4,1,1.000000,0.70000000,0.00833333,0.1356283957,1.000000000000e-12
opq,4,1,1.000000,0.71666667,0.00833333,0.1447398865,1.000000000000e-12
opq,4,1,1.000000,0.73333333,0.00833333,0.1550089603,1.000000000000e-12
opq,4,1,1.000000,0.75000000,0.00833333,0.1666666667,1.000000000000e-12
opq,4,1,1.000000,0.76666667,0.00833333,0.1800100778,1.000000000000e-12
opq,4,1,1.000000,0.78333333,0.00833333,0.1954276822,1.000000000000e-12
opq,4,1,1.000000,0.80000000,0.00833333,0.2134374746,1.000000000000e-12
opq,4,1,1.000000,0.81666667,0.00833333,0.2347458231,1.000000000000e-12
opq,4,1,1.000000,0.83333333,0.00833333,0.2603416559,1.000000000000e-12
opq,4,1,1.000000,0.85000000,0.00833333,0.2916534389,1.000000000000e-12
opq,4,1,1.000000,0.86666667,0.00833333,0.3308238874,1.000000000000e-12
opq,4,1,1.000000,0.88333333,0.00833333,0.3812201440,1.000000000000e-12
opq,4,1,1.000000,0.90000000,0.00833333,0.4000000000,1.000000000000e-12
opq,4,1,1.000000,0.91666667,0.00833333,0.4000000000,1.000000000000e-12
opq,4,1,1.000000,0.93333333,0.00833333,0.4000000000,1.000000000000e-12
opq,4,1,1.000000,0.95000000,0.00833333,0.4000000000,1.000000000000e-12
opq,4,1,1.000000,0.96666667,0.00833333,0.4000000000,1.000000000000e-12
opq,4,1,1.000000,0.98333333,0.00833333,0.4000000000,1.000000000000e-12
opq,4,1,1.000000,1.00000000,0.00833333,0.4000000000,1.000000000000e-12
opq,4,1,1.000000,-1.00000000,0.01666667,0.0471404521,1.000000000000e-12
opq,4,1,1.000000,-0.98333333,0.01666667,0.0471421165,1.000000000000e-12
opq,4,1,1.000000,-0.96666667,0.01666667,0.0471472227,1.000000000000e-12
opq,4,1,1.000000,-0.95000000,0.01666667,0.0471559461,1.000000000000e-12
opq,4,1,1.000000,-0.93333333,0.01666667,0.0471684702,1.000000000000e-12
opq,4,1,1.000000,-0.91666667,0.01666667,0.0471849872,1.000000000000e-12
opq,4,1,1.000000,-0.90000000,0.01666667,0.0472056984,1.000000000000e-12
opq,4,1,1.000000,-0.88333333,0.01666667,0.0472308143,1.000000000000e-12
opq,4,1,1.000000,-0.86666667,0.01666667,0.0472605553,1.000000000000e-12
opq,4,1,1.000000,-0.85000000,0.01666667,0.0472951522,1.000000000000e-12
opq,4,1,1.000000,-0.83333333,0.01666667,0.0473348465,1.000000000000e-12
opq,4,1,1.000000,-0.81666667,0.01666667,0.0473798909,1.000000000000e-12
opq,4,1,1.000000,-0.80000000,0.01666667,0.0474305499,1.000000000000e-12
opq,4,1,1.000000,-0.78333333,0.01666667,0.0474871003,1.000000000000e-12
opq,4,1,1.000000,-0.76666667,0.01666667,0.0475498319,1.000000000000e-12
opq,4,1,1.000000,-0.75000000,0.01666667,0.0476190476,1.000000000000e-12
opq,4,1,1.000000,-0.73333333,0.01666667,0.0476950647,1.000000000000e-12
opq,4,1,1.000000,-0.71666667,0.01666667,0.0477782150,1.000000000000e-12
opq,4,1,1.000000,-0.70000000,0.01666667,0.0478688456,1.000000000000e-12
opq,4,1,1.000000,-0.68333333,0.01666667,0.0479673196,1.000000000000e-12
opq,4,1,1.000000,-0.66666667,0.01666667,0.0480740170,1.000000000000e-12
opq,4,1,1.000000,-0.65000000,0.01666667,0.0481893351,1.000000000000e-12
opq,4,1,1.000000,-0.63333333,0.01666667,0.0483136895,1.000000000000e-12
opq,4,1,1.000000,-0.61666667,0.01666667,0.0484475149,1.000000000000e-12
opq,4,1,1.000000,-0.60000000,0.01666667,0.0485912658,1.000000000000e-12
opq,4,1,1.000000,-0.58333333,0.01666667,0.0487454175,1.000000000000e-12
opq,4,1,1.000000,-0.56666667,0.01666667,0.0489104671,1.000000000000e-12
opq,4,1,1.000000,-0.55000000,0.01666667,0.0490869342,1.000000000000e-12
opq,4,1,1.000000,-0.53333333,0.01666667,0.0492753623,1.000000000000e-12
opq,4,1,1.000000,-0.51666667,0.01666667,0.0494763194,1.000000000000e-12
opq,4,1,1.000000,-0.50000000,0.01666667,0.0496903995,1.000000000000e-12
opq,4,1,1.000000,-0.48333333,0.01666667,0.0499182235,1.000000000000e-12
opq,4,1,1.000000,-0.46666667,0.01666667,0.0501604405,1.000000000000e-12
opq,4,1,1.000000,-0.45000000,0.01666667,0.0504177292,1.000000000000e-12
opq,4,1,1.000000,-0.43333333,0.01666667,0.0506907991,1.000000000000e-12
opq,4,1,1.000000,-0.41666667,0.01666667,0.0509803922,1.000000000000e-12
opq,4,1,1.000000,-0.40000000,0.01666667,0.0512872839,1.000000000000e-12
opq,4,1,1.000000,-0.38333333,0.01666667,0.0516122854,1.000000000000e-12
opq,4,1,1.000000,-0.36666667,0.01666667,0.0519562449,1.000000000000e-12
opq,4,1,1.000000,-0.35000000,0.01666667,0.0523200496,1.000000000000e-12
opq,4,1,1.000000,-0.33333333,0.01666667,0.0527046277,1.000000000000e-12
opq,4,1,1.000000,-0.31666667,0.01666667,0.0531109501,1.000000000000e-12
opq,4,1,1.000000,-0.30000000,0.01666667,0.0535400334,1.000000000000e-12
opq,4,1,1.000000,-0.28333333,0.01666667,0.0539929414,1.000000000000e-12
opq,4,1,1.000000,-0.26666667,0.01666667,0.0544707884,1.000000000000e-12
opq,4,1,1.000000,-0.25000000,0.01666667,0.0549747417,1.000000000000e-12
opq,4,1,1.000000,-0.23333333,0.01666667,0.0555060245,1.000000000000e-12
opq,4,1,1.000000,-0.21666667,0.01666667,0.0560659196,1.000000000000e-12
opq,4,1,1.000000,-0.20000000,0.01666667,0.0566557724,1.000000000000e-12
opq,4,1,1.000000,-0.18333333,0.01666667,0.0572769953,1.000000000000e-12
opq,4,1,1.000000,-0.16666667,0.01666667,0.0579310717,1.000000000000e-12
opq,4,1,1.000000,-0.15000000,0.01666667,0.0586195606,1.000000000000e-12
opq,4,1,1.000000,-0.13333333,0.01666667,0.0593441018,1.000000000000e-12
opq,4,1,1.000000,-0.11666667,0.01666667,0.0601064211,1.000000000000e-12
opq,4,1,1.000000,-0.10000000,0.01666667,0.0609083371,1.000000000000e-12
opq,4,1,1.000000,-0.08333333,0.01666667,0.0617517671,1.000000000000e-12
opq,4,1,1.000000,-0.06666667,0.01666667,0.0626387349,1.000000000000e-12
opq,4,1,1.000000,-0.05000000,0.01666667,0.0635713790,1.000000000000e-12
opq,4,1,1.000000,-0.03333333,0.01666667,0.0645519614,1.000000000000e-12
opq,4,1,1.000000,-0.01666667,0.01666667,0.0655828773,1.000000000000e-12
opq,4,1,1.000000,0.00000000,0.01666667,0.0666666667,1.000000000000e-12
opq,4,1,1.000000,0.01666667,0.01666667,0.0678060257,1.000000000000e-12
opq,4,1,1.000000,0.03333333,0.01666667,0.0690038208,1.000000000000e-12
opq,4,1,1.000000,0.05000000,0.01666667,0.0702631031,1.000000000000e-12
opq,4,1,1.000000,0.06666667,0.01666667,0.0715871256,1.000000000000e-12
opq,4,1,1.000000,0.08333333,0.01666667,0.0729793611,1.000000000000e-12
opq,4,1,1.000000,0.10000000,0.01666667,0.0744435231,1.000000000000e-12
opq,4,1,1.000000,0.11666667,0.01666667,0.0759835890,1.000000000000e-12
opq,4,1,1.000000,0.13333333,0.01666667,0.0776038254,1.000000000000e-12
opq,4,1,1.000000,0.15000000,0.01666667,0.0793088173,1.000000000000e-12
opq,4,1,1.000000,0.16666667,0.01666667,0.0811035004,1.000000000000e-12
