implementation,n_lane,egress_symbols_per_beat,ready_duty,burstiness,scv,mean_generation_batch_hits,rho_lane,cycles,warmup_cycles,effective_capacity,offered_transactions,delivered_transactions,dropped_transactions,mean_occupancy,max_occupancy,loss_probability
opq,4,1,1.0,0.8333333333333333,120.99999999999989,60.99999999999994,0.03333333333333333,8192,1024,2048,915,915,0,3.8295200892857144,60,1e-12
opq,4,1,1.0,0.8666666666666667,196.0000000000001,98.50000000000006,0.03333333333333333,8192,1024,2048,985,953,0,6.630022321428571,98,1e-12
opq,4,1,1.0,0.8999999999999999,360.9999999999993,180.99999999999966,0.03333333333333333,8192,1024,2048,1085,951,0,12.367327008928571,180,1e-12
opq,4,1,1.0,0.9333333333333333,841.0000000000005,421.0000000000002,0.03333333333333333,8192,1024,2048,842,842,0,24.66796875,420,1e-12
opq,4,1,1.0,0.9666666666666666,1000.0,500.5,0.03333333333333333,8192,1024,2048,1001,1001,0,34.877232142857146,500,1e-12
opq,4,1,1.0,1.0,1000.0,500.5,0.03333333333333333,8192,1024,2048,1001,1001,0,34.877232142857146,500,1e-12
opq,4,1,1.0,-1.0,0.0,1.0,0.05,8192,1024,2048,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.9666666666666667,0.00028727377190462496,1.0,0.05,8192,1024,2048,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.9333333333333333,0.0011890606420927462,1.0,0.05,8192,1024,2048,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.9,0.002770083102493074,1.0,0.05,8192,1024,2048,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.8666666666666667,0.0051020408163265285,1.0,0.05,8192,1024,2048,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.8333333333333334,0.00826446280991735,1.0,0.05,8192,1024,2048,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.8,0.012345679012345671,1.0,0.05,8192,1024,2048,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.7666666666666666,0.01744393022427911,1.0,0.05,8192,1024,2048,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.7333333333333334,0.023668639053254423,1.0,0.05,8192,1024,2048,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.7,0.03114186851211074,1.0,0.05,8192,1024,2048,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.6666666666666667,0.03999999999999998,1.0,0.05,8192,1024,2048,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.6333333333333333,0.050395668471470235,1.0,0.05,8192,1024,2048,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.6,0.0625,1.0,0.05,8192,1024,2048,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.5666666666666667,0.07650520597555456,1.0,0.05,8192,1024,2048,1434,1434,0,0.0,0,1e-12
