n_lane,egress_symbols_per_beat,burstiness,ready_duty,rho_lane,opq_loss_probability,time_merger_loss_probability,loss_ratio_clipped
4,1,0.61000000,0.46100000,0.00750000,1.000000000000e-12,1.435185185185e-01,1000000.0000000000
4,1,0.63000000,0.46100000,0.00750000,1.000000000000e-12,1.566820276498e-01,1000000.0000000000
4,1,0.65000000,0.46100000,0.00750000,1.000000000000e-12,1.534883720930e-01,1000000.0000000000
4,1,0.67000000,0.46100000,0.00750000,1.000000000000e-12,1.658986175115e-01,1000000.0000000000
4,1,0.69000000,0.46100000,0.00750000,1.000000000000e-12,1.705069124424e-01,1000000.0000000000
4,1,0.71000000,0.46100000,0.00750000,1.000000000000e-12,1.805555555556e-01,1000000.0000000000
4,1,0.73000000,0.46100000,0.00750000,1.000000000000e-12,1.843317972350e-01,1000000.0000000000
4,1,0.75000000,0.46100000,0.00750000,1.000000000000e-12,1.981566820276e-01,1000000.0000000000
4,1,0.77000000,0.46100000,0.00750000,1.000000000000e-12,2.018348623853e-01,1000000.0000000000
4,1,0.79000000,0.46100000,0.00750000,1.000000000000e-12,2.119815668203e-01,1000000.0000000000
4,1,0.81000000,0.46100000,0.00750000,1.000000000000e-12,2.165898617512e-01,1000000.0000000000
4,1,0.83000000,0.46100000,0.00750000,1.000000000000e-12,2.304147465438e-01,1000000.0000000000
4,1,0.85000000,0.46100000,0.00750000,1.000000000000e-12,2.396313364055e-01,1000000.0000000000
4,1,0.87000000,0.46100000,0.00750000,1.000000000000e-12,2.557077625571e-01,1000000.0000000000
4,1,0.89000000,0.46100000,0.00750000,1.000000000000e-12,2.580645161290e-01,1000000.0000000000
4,1,0.91000000,0.46100000,0.00750000,1.000000000000e-12,2.764976958525e-01,1000000.0000000000
4,1,0.93000000,0.46100000,0.00750000,1.000000000000e-12,2.798165137615e-01,1000000.0000000000
4,1,0.95000000,0.46100000,0.00750000,1.000000000000e-12,3.027522935780e-01,1000000.0000000000
4,1,-0.25000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.23000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.21000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.19000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.17000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.15000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.13000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.11000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.09000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.07000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.05000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.03000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.01000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.01000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.03000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.05000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.07000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.09000000,0.47200000,0.00750000,1.000000000000e-12,4.629629629630e-03,1000000.0000000000
4,1,0.11000000,0.47200000,0.00750000,1.000000000000e-12,4.651162790698e-03,1000000.0000000000
4,1,0.13000000,0.47200000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.15000000,0.47200000,0.00750000,1.000000000000e-12,4.608294930876e-03,1000000.0000000000
4,1,0.17000000,0.47200000,0.00750000,1.000000000000e-12,1.382488479263e-02,1000000.0000000000
4,1,0.19000000,0.47200000,0.00750000,1.000000000000e-12,9.259259259259e-03,1000000.0000000000
4,1,0.21000000,0.47200000,0.00750000,1.000000000000e-12,1.851851851852e-02,1000000.0000000000
4,1,0.23000000,0.47200000,0.00750000,1.000000000000e-12,1.382488479263e-02,1000000.0000000000
4,1,0.25000000,0.47200000,0.00750000,1.000000000000e-12,2.304147465438e-02,1000000.0000000000
4,1,0.27000000,0.47200000,0.00750000,1.000000000000e-12,2.314814814815e-02,1000000.0000000000
4,1,0.29000000,0.47200000,0.00750000,1.000000000000e-12,3.703703703704e-02,1000000.0000000000
4,1,0.31000000,0.47200000,0.00750000,1.000000000000e-12,4.629629629630e-02,1000000.0000000000
4,1,0.33000000,0.47200000,0.00750000,1.000000000000e-12,5.069124423963e-02,1000000.0000000000
4,1,0.35000000,0.47200000,0.00750000,1.000000000000e-12,5.529953917051e-02,1000000.0000000000
4,1,0.37000000,0.47200000,0.00750000,1.000000000000e-12,5.116279069767e-02,1000000.0000000000
