implementation,n_lane,egress_symbols_per_beat,ready_duty,burstiness,scv,mean_generation_batch_hits,rho_lane,cycles,warmup_cycles,effective_capacity,offered_transactions,delivered_transactions,dropped_transactions,mean_occupancy,max_occupancy,loss_probability
opq,4,1,1.0,-0.25,0.36,1.0,0.263125,512,64,255,471,448,0,14.640625,26,1e-12
opq,4,1,1.0,-0.1,0.6694214876033057,1.0,0.263125,512,64,255,471,448,0,14.640625,26,1e-12
opq,4,1,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.263125,512,64,255,472,448,0,15.071428571428571,27,1e-12
opq,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.263125,512,64,255,471,448,0,15.772321428571429,28,1e-12
opq,4,1,1.0,0.35,4.313609467455622,2.656804733727811,0.263125,512,64,255,470,448,0,16.325892857142858,29,1e-12
opq,4,1,1.0,0.5,9.0,5.0,0.263125,512,64,255,470,448,0,16.549107142857142,30,1e-12
opq,4,1,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.263125,512,64,255,476,448,0,19.816964285714285,37,1e-12
opq,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.263125,512,64,255,492,448,0,32.65625,64,1e-12
opq,4,1,1.0,0.95,1000.0,760.9999999999986,0.263125,512,64,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,-0.25,0.36,1.0,0.3,512,64,255,538,448,0,57.10044642857143,102,1e-12
opq,4,1,1.0,-0.1,0.6694214876033057,1.0,0.3,512,64,255,538,448,0,57.10044642857143,102,1e-12
opq,4,1,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.3,512,64,255,538,448,0,56.640625,102,1e-12
opq,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.3,512,64,255,538,448,0,57.328125,103,1e-12
opq,4,1,1.0,0.35,4.313609467455622,2.656804733727811,0.3,512,64,255,539,448,0,57.86830357142857,103,1e-12
opq,4,1,1.0,0.5,9.0,5.0,0.3,512,64,255,535,448,0,59.09375,105,1e-12
opq,4,1,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.3,512,64,255,534,448,0,60.339285714285715,108,1e-12
opq,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.3,512,64,255,533,448,0,71.12053571428571,129,1e-12
opq,4,1,1.0,0.95,1000.0,760.9999999999986,0.3,512,64,255,0,0,0,0.0,0,1e-12
time_merger,4,1,1.0,-0.25,0.36,1.0,0.005,512,64,19,9,9,0,0.0,0,1e-12
