implementation,n_lane,egress_symbols_per_beat,ready_duty,burstiness,rho_lane,effective_load,loss_probability
opq,4,1,1.000000,0.90000000,0.00500000,0.0632455532,1.000000000000e-12
opq,4,1,1.000000,0.91000000,0.00500000,0.0666666667,1.000000000000e-12
opq,4,1,1.000000,0.92000000,0.00500000,0.0707106781,1.000000000000e-12
opq,4,1,1.000000,0.93000000,0.00500000,0.0755928946,1.000000000000e-12
opq,4,1,1.000000,0.94000000,0.00500000,0.0816496581,1.000000000000e-12
opq,4,1,1.000000,0.95000000,0.00500000,0.0894427191,1.000000000000e-12
opq,4,1,1.000000,-0.25000000,0.00745833,0.0266837445,1.000000000000e-12
opq,4,1,1.000000,-0.24000000,0.00745833,0.0267911242,1.000000000000e-12
opq,4,1,1.000000,-0.23000000,0.00745833,0.0268998108,1.000000000000e-12
opq,4,1,1.000000,-0.22000000,0.00745833,0.0270098309,1.000000000000e-12
opq,4,1,1.000000,-0.21000000,0.00745833,0.0271212121,1.000000000000e-12
opq,4,1,1.000000,-0.20000000,0.00745833,0.0272339827,1.000000000000e-12
opq,4,1,1.000000,-0.19000000,0.00745833,0.0273481718,1.000000000000e-12
opq,4,1,1.000000,-0.18000000,0.00745833,0.0274638094,1.000000000000e-12
opq,4,1,1.000000,-0.17000000,0.00745833,0.0275809264,1.000000000000e-12
opq,4,1,1.000000,-0.16000000,0.00745833,0.0276995546,1.000000000000e-12
opq,4,1,1.000000,-0.15000000,0.00745833,0.0278197268,1.000000000000e-12
opq,4,1,1.000000,-0.14000000,0.00745833,0.0279414767,1.000000000000e-12
opq,4,1,1.000000,-0.13000000,0.00745833,0.0280648392,1.000000000000e-12
opq,4,1,1.000000,-0.12000000,0.00745833,0.0281898503,1.000000000000e-12
opq,4,1,1.000000,-0.11000000,0.00745833,0.0283165469,1.000000000000e-12
opq,4,1,1.000000,-0.10000000,0.00745833,0.0284449672,1.000000000000e-12
opq,4,1,1.000000,-0.09000000,0.00745833,0.0285751508,1.000000000000e-12
opq,4,1,1.000000,-0.08000000,0.00745833,0.0287071384,1.000000000000e-12
opq,4,1,1.000000,-0.07000000,0.00745833,0.0288409719,1.000000000000e-12
