n_shd,skew_frames,skew_timestamp_ticks,skew_ns,aligned_poisson_mean,offered_poisson_mean,opq_effective_capacity,old_tree_depth,old_effective_capacity,opq_loss_rate,old_time_merger_loss_rate,loss_ratio_clipped,log10_opq_loss_rate,log10_old_time_merger_loss_rate,log10_loss_ratio_clipped
128,1.4,2867.2,22937.6,494.592,659.456,256,2,32,0.36180124223602483,0.7014751552795031,1.9388412017167382,-0.44152994633379317,-0.15398770612684265,0.28754224020695046
128,1.4166666666666667,2901.3333333333335,23210.666666666668,500.4800000000001,667.3066666666667,256,2,32,0.36636828644501285,0.7020460358056266,1.9162303664921463,-0.43608212675643915,-0.15363440860975605,0.28244771814668307
128,1.4333333333333333,2935.4666666666667,23483.733333333334,506.36800000000005,675.1573333333333,256,2,32,0.37082912032355925,0.702603640040445,1.8946830265848666,-0.430826169081859,-0.15328960455056295,0.277536564531296
128,1.45,2969.6,23756.8,512.256,683.008,256,2,32,0.3751874062968515,0.7031484257871063,1.8741258741258744,-0.4257517477651928,-0.15295299120146574,0.2727987565637271
128,1.4666666666666666,3003.733333333333,24029.866666666665,518.144,690.8586666666666,256,2,32,0.37944664031620556,0.7036808300395258,1.8544921875,-0.42084928813624944,-0.15262428003904388,0.26822500809720556
128,1.4833333333333334,3037.866666666667,24302.933333333334,524.032,698.7093333333333,256,2,32,0.38361016121152913,0.7042012701514412,1.8357211079274114,-0.4161098975919632,-0.15230319593827904,0.26380670165368414
128,1.5,3072.0,24576.0,529.9200000000001,706.5600000000001,256,2,32,0.3876811594202899,0.7047101449275363,1.8177570093457942,-0.411525304380008,-0.15198947640349114,0.25953582797651686
128,1.5166666666666666,3106.133333333333,24849.066666666666,535.808,714.4106666666667,256,2,32,0.391662685140946,0.7052078356426182,1.8005489478499543,-0.40708780299728364,-0.15168287085166374,0.25540493214561993
128,1.5333333333333332,3140.2666666666664,25122.13333333333,541.696,722.2613333333333,256,2,32,0.39555765595463144,0.705694706994329,1.7840501792114696,-0.4027902053698881,-0.1513831399440385,0.2514070654258496
128,1.55,3174.4,25395.2,547.5840000000001,730.1120000000001,256,2,32,0.3993688639551193,0.7061711079943899,1.7682177348551358,-0.39862579710072754,-0.15109005496222877,0.24753574213849877
128,1.5666666666666667,3208.5333333333333,25668.266666666666,553.4720000000001,737.9626666666667,256,2,32,0.4030989824236819,0.7066373728029604,1.753012048192771,-0.3945882981712794,-0.1508033972254273,0.24378490094585215
128,1.5833333333333333,3242.6666666666665,25941.333333333332,559.36,745.8133333333333,256,2,32,0.4067505720823799,0.7070938215102975,1.7383966244725737,-0.39067182756861785,-0.15052295754558717,0.2401488700230307
