implementation,n_lane,egress_symbols_per_beat,burstiness,scv,rate_per_lane,effective_load,effective_capacity,loss_probability
OPQ,4,1,-1.0,0.0,0.32980000000000004,0.9328152657412937,255,1.334012923430596e-09
OPQ,4,1,-1.0,0.0,0.33370000000000005,0.9438461315278038,255,2.2345284166453565e-08
OPQ,4,1,-1.0,0.0,0.3376,0.9548769973143139,255,3.4753312491706345e-07
OPQ,4,1,-1.0,0.0,0.3415,0.9659078631008241,255,4.912680877985582e-06
OPQ,4,1,-1.0,0.0,0.34540000000000004,0.9769387288873342,255,6.027804150202991e-05
OPQ,4,1,-1.0,0.0,0.34930000000000005,0.9879695946738444,255,0.0005753651265611549
OPQ,4,1,-1.0,0.0,0.3532,0.9990004604603544,255,0.003429256449710375
OPQ,4,1,-1.0,0.0,0.35710000000000003,1.0100313262468645,255,0.010768108576098981
OPQ,4,1,-1.0,0.0,0.36100000000000004,1.021062192033375,255,0.020727539571528383
OPQ,4,1,-1.0,0.0,0.36490000000000006,1.032093057819885,255,0.031104687825802932
OPQ,4,1,-1.0,0.0,0.3688,1.043123923606395,255,0.04134196816851498
OPQ,4,1,-1.0,0.0,0.37270000000000003,1.0541547893929053,255,0.05137278138695284
OPQ,4,1,-1.0,0.0,0.37660000000000005,1.0651856551794154,255,0.061196525765294156
OPQ,4,1,-1.0,0.0,0.38050000000000006,1.0762165209659256,255,0.07081894767532619
OPQ,4,1,-1.0,0.0,0.3844,1.0872473867524357,255,0.08024612232618102
OPQ,4,1,-1.0,0.0,0.38830000000000003,1.0982782525389458,255,0.0894839284265778
OPQ,4,1,-1.0,0.0,0.39220000000000005,1.109309118325456,255,0.09853801480581197
OPQ,4,1,-1.0,0.0,0.3961,1.120339984111966,255,0.10741380814626625
OPQ,4,1,-1.0,0.0,0.4,1.1313708498984762,255,0.11611652351681775
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.01,0.028402864099869054,255,0.0
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.013900000000000001,0.039479981098817986,255,0.0
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0178,0.050557098097766914,255,0.0
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0217,0.06163421509671584,255,2.38203934353192e-309
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0256,0.07271133209566477,255,4.739698779316605e-291
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0295,0.08378844909461369,255,2.3656716870478982e-275
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0334,0.09486556609356263,255,1.3164572450299563e-261
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0373,0.10594268309251156,255,2.210355395273822e-249
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0412,0.1170198000914605,255,2.2494983991824706e-238
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0451,0.12809691709040943,255,2.3058498670377126e-228
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.049,0.13917403408935836,255,3.4854623899705924e-219
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0529,0.15025115108830728,255,1.0419133170221227e-210
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0568,0.16132826808725623,255,7.758222779629217e-203
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.060700000000000004,0.17240538508620515,255,1.730926055090146e-195
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0646,0.1834825020851541,255,1.3446282143405219e-188
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0685,0.19455961908410302,255,4.11598482412602e-182
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0724,0.20563673608305194,255,5.504250199864808e-176
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.07629999999999999,0.21671385308200083,255,3.507698517735115e-170
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0802,0.22779097008094978,255,1.1469471940436202e-164
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0841,0.2388680870798987,255,2.0501398858181215e-159
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.088,0.24994520407884765,255,2.1160163818438376e-154
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0919,0.26102232107779655,255,1.3226086509860132e-149
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0958,0.2720994380767455,255,5.219411098076294e-145
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.0997,0.28317655507569445,255,1.349031857495881e-140
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.1036,0.29425367207464337,255,2.3590160271449723e-136
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.1075,0.3053307890735923,255,2.8726391149372036e-132
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.1114,0.3164079060725412,255,2.4995701511931236e-128
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.1153,0.3274850230714902,255,1.5904497627507575e-124
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.1192,0.3385621400704391,255,7.55577145235035e-121
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.1231,0.34963925706938803,255,2.7308789570415105e-117
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.127,0.36071637406833695,255,7.63813024543762e-114
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.13090000000000002,0.37179349106728593,255,1.679024128795251e-110
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.1348,0.38287060806623485,255,2.9420047989596173e-107
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.13870000000000002,0.3939477250651838,255,4.162481290583076e-104
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.1426,0.4050248420641327,255,4.811965162615913e-101
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.14650000000000002,0.41610195906308167,255,4.594898782763157e-98
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.1504,0.42717907606203054,255,3.6606798915911495e-95
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.15430000000000002,0.4382561930609795,255,2.455806102656304e-92
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.1582,0.44933331005992844,255,1.3992187874975365e-89
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.16210000000000002,0.4604104270588774,255,6.824596359148534e-87
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.166,0.4714875440578263,255,2.8705314696051305e-84
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.16990000000000002,0.48256466105677526,255,1.0483645637199105e-81
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.1738,0.4936417780557241,255,3.345756958745983e-79
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.17770000000000002,0.5047188950546732,255,9.386214726221828e-77
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.1816,0.515796012053622,255,2.3276263456980315e-74
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.18550000000000003,0.526873129052571,255,5.128853649392556e-72
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.1894,0.5379502460515199,255,1.009083066849237e-69
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.19330000000000003,0.5490273630504688,255,1.78081007429427e-67
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.19720000000000001,0.5601044800494177,255,2.831107617585092e-65
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.20110000000000003,0.5711815970483667,255,4.0709526608896566e-63
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.20500000000000002,0.5822587140473156,255,5.3147960496050014e-61
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.20890000000000003,0.5933358310462645,255,6.322411203611477e-59
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.21280000000000002,0.6044129480452135,255,6.876235260595299e-57
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.21670000000000003,0.6154900650441625,255,6.859217704251905e-55
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.22060000000000002,0.6265671820431113,255,6.294506457803567e-53
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.22450000000000003,0.6376442990420603,255,5.3290254584830545e-51
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.22840000000000002,0.6487214160410092,255,4.17351231881995e-49
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.23230000000000003,0.6597985330399582,255,3.0313027676602087e-47
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.23620000000000002,0.670875650038907,255,2.0468095522755392e-45
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.24010000000000004,0.681952767037856,255,1.2877663455649774e-43
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.24400000000000002,0.6930298840368049,255,7.565653543830609e-42
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.24790000000000004,0.7041070010357539,255,4.159045296834834e-40
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.2518,0.7151841180347028,255,2.1434774041657285e-38
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.25570000000000004,0.7262612350336518,255,1.0375680386240646e-36
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.2596,0.7373383520326006,255,4.725380366026275e-35
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.2635,0.7484154690315495,255,2.028086874034469e-33
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.2674,0.7594925860304985,255,8.215440407683565e-32
