run_tag,component,status,metric,rtl_value,tlm_value,compared,mismatches,threshold,discrepancy,notes
component_b000_rho0800_f0245_seed7103,collective_loss,DEBUG,dropped_hits,37533,28684,100421,8849,0.01,0.23576586,rtl_expected=100421 rtl_uvm_clean=0 tlm_pre=26786 tlm_post=1898 tlm_ft=0
component_b403_rho0750_f0261_seed7101,ingress_lane_fifo,DEBUG,raw_subheader_ticket_decision,133632,133632,133632,172344,0.01,0,missing_tlm=86172 extra_tlm=86172 key_count=153214
component_b403_rho0750_f0261_seed7101,ticket_drop_control,DEBUG,controlled_pre_post_drop_hits_by_serial_lane,38683,26028,888,35497,0.01,0.32714629,pre/post key_count=888 hit_delta_sum=35497
component_b403_rho0750_f0261_seed7101,page_allocator_handle_fifo,DEBUG,handle_accept_hits_by_lane_timestamp,59413,74565,25912,133628,0.01,0.25502836,rtl_handles=16467 tlm_handle_events=22049
component_b403_rho0750_f0261_seed7101,frame_table_header_ledger,DEBUG,wr_hdr,183,237,1,54,0.01,0.29508197,rtl_rd_hdr=183 rtl_drop_hdr=0
component_b403_rho0750_f0261_seed7101,frame_table_subheader_ledger,DEBUG,wr_shd,12306,30336,1,18030,0.01,1.465139,rtl_rd_shd=12306 rtl_drop_shd=0
component_b403_rho0750_f0261_seed7101,frame_table_hit_ledger,DEBUG,rd_plus_drop_hit,59413,74565,1,15152,0.01,0.25502836,rtl_ft_drop_hit=0 tlm_ft_drop_hit=0 tlm_wr_hit=74565
component_b403_rho0750_f0261_seed7101,transaction_bucket_order,DEBUG,OPQ_TXN_deliver_bucket_count_and_order,59413,74565,59413,85456,0.01,0.25502836,missing_bucket=50304 extra_bucket=35152 bucket_order_violations=0
component_b403_rho0750_f0261_seed7101,transaction_word_identity,DEBUG,OPQ_TXN_deliver_word_identity,59413,74565,59413,115570,0.01,0.25502836,missing_word=65361 extra_word=50209
component_b403_rho0750_f0261_seed7101,collective_loss,DEBUG,dropped_hits,38699,26028,99959,12671,0.01,0.32742448,rtl_expected=99959 rtl_uvm_clean=0 tlm_pre=23193 tlm_post=2835 tlm_ft=0
component_b403_rho0750_f0261_seed7102,ingress_lane_fifo,DEBUG,raw_subheader_ticket_decision,133632,133632,133632,172984,0.01,0,missing_tlm=86492 extra_tlm=86492 key_count=153513
component_b403_rho0750_f0261_seed7102,ticket_drop_control,DEBUG,controlled_pre_post_drop_hits_by_serial_lane,35925,26028,870,33995,0.01,0.27549061,pre/post key_count=870 hit_delta_sum=33995
component_b403_rho0750_f0261_seed7102,page_allocator_handle_fifo,DEBUG,handle_accept_hits_by_lane_timestamp,62214,74565,25943,136387,0.01,0.19852445,rtl_handles=17193 tlm_handle_events=22049
component_b403_rho0750_f0261_seed7102,frame_table_header_ledger,DEBUG,wr_hdr,190,237,1,47,0.01,0.24736842,rtl_rd_hdr=190 rtl_drop_hdr=0
component_b403_rho0750_f0261_seed7102,frame_table_subheader_ledger,DEBUG,wr_shd,12894,30336,1,17442,0.01,1.3527222,rtl_rd_shd=12894 rtl_drop_shd=0
component_b403_rho0750_f0261_seed7102,frame_table_hit_ledger,DEBUG,rd_plus_drop_hit,62214,74565,1,12351,0.01,0.19852445,rtl_ft_drop_hit=0 tlm_ft_drop_hit=0 tlm_wr_hit=74565
component_b403_rho0750_f0261_seed7102,transaction_bucket_order,DEBUG,OPQ_TXN_deliver_bucket_count_and_order,62214,74565,62214,87481,0.01,0.19852445,missing_bucket=49916 extra_bucket=37565 bucket_order_violations=0
component_b403_rho0750_f0261_seed7102,transaction_word_identity,DEBUG,OPQ_TXN_deliver_word_identity,62214,74565,62214,118749,0.01,0.19852445,missing_word=65550 extra_word=53199
component_b403_rho0750_f0261_seed7102,collective_loss,DEBUG,dropped_hits,35941,26028,99965,9913,0.01,0.27581314,rtl_expected=99965 rtl_uvm_clean=0 tlm_pre=23193 tlm_post=2835 tlm_ft=0
component_b403_rho0750_f0261_seed7103,ingress_lane_fifo,DEBUG,raw_subheader_ticket_decision,133632,133632,133632,172120,0.01,0,missing_tlm=86060 extra_tlm=86060 key_count=154512
component_b403_rho0750_f0261_seed7103,ticket_drop_control,DEBUG,controlled_pre_post_drop_hits_by_serial_lane,40892,26028,934,37456,0.01,0.36349408,pre/post key_count=934 hit_delta_sum=37456
component_b403_rho0750_f0261_seed7103,page_allocator_handle_fifo,DEBUG,handle_accept_hits_by_lane_timestamp,59701,74565,25907,133898,0.01,0.24897405,rtl_handles=16458 tlm_handle_events=22049
component_b403_rho0750_f0261_seed7103,frame_table_header_ledger,DEBUG,wr_hdr,180,237,1,57,0.01,0.31666667,rtl_rd_hdr=180 rtl_drop_hdr=0
