run_tag,case,n_lane,egress_symbols_per_beat,rho_ppm,burstiness_milli,frame_count,subheaders_per_frame,inter_frame_gap_cycles,lane_fifo_depth,ticket_fifo_depth,page_ram_depth,frame_ts_step_ticks,frame_launch_period_cycles,feb_header_latency_cycles,tlm_offered_hits,rtl_expected_hits,tlm_dropped_hits,tlm_predrop_hits,tlm_postdrop_hits,tlm_ft_drop_hits,tlm_lane_predrop_hits,tlm_lane_postdrop_hits,tlm_lane_ft_drop_hits,tlm_lane_dropped_hits,rtl_dropped_hits,tlm_loss,rtl_loss,max_lane_fifo_used,max_ticket_fifo_used,max_handle_fifo_used,max_page_frames,max_page_words,max_cycle,sequence_monotonic
marginal_b700_rho0620_f100_period4096,RTL-LS-002,4,1,620000,700,100,128,4096,2048,4096,65536,2048,4096,4096,31746,31746,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1922,2539,2,1,662,505106,1
marginal_b700_rho0640_f100_period4096,RTL-LS-002,4,1,640000,700,100,128,4096,2048,4096,65536,2048,4096,4096,33735,33735,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1975,2542,2,1,627,505197,1
marginal_b700_rho0660_f100_period4096,RTL-LS-002,4,1,660000,700,100,128,4096,2048,4096,65536,2048,4096,4096,33433,33433,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1872,2542,2,1,644,505258,1
marginal_b700_rho0680_f100_period4096,RTL-LS-002,4,1,680000,700,100,128,4096,2048,4096,65536,2048,4096,4096,34637,34637,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1975,2542,2,1,662,505424,1
marginal_b700_rho0700_f100_period4096,RTL-LS-002,4,1,700000,700,100,128,4096,2048,4096,65536,2048,4096,4096,35967,35967,18,18,0,0,0;18;0;0,0;0;0;0,0;0;0;0,0;18;0;0,17,0.0005004587538577029,0.0004726554897544972,2044,2547,2,1,712,505272,1
marginal_b700_rho0720_f100_period4096,RTL-LS-002,4,1,720000,700,100,128,4096,2048,4096,65536,2048,4096,4096,38140,38140,17,17,0,0,0;0;17;0,0;0;0;0,0;0;0;0,0;0;17;0,17,0.0004457262716308338,0.0004457262716308338,2040,2550,2,1,764,505481,1
marginal_b700_rho0750_f100_period4096,RTL-LS-002,4,1,750000,700,100,128,4096,2048,4096,65536,2048,4096,4096,38841,38841,459,459,0,0,204;0;34;221,0;0;0;0,0;0;0;0,204;0;34;221,459,0.011817409438479956,0.011817409438479956,2043,2545,2,1,712,505478,1
marginal_b700_rho0800_f100_period4096,RTL-LS-002,4,1,800000,700,100,128,4096,2048,4096,65536,2048,4096,4096,39764,39764,51,51,0,0,51;0;0;0,0;0;0;0,0;0;0;0,51;0;0;0,51,0.001282567146162358,0.001282567146162358,2042,2551,2,1,865,505652,1
marginal_b700_rho0850_f100_period4096,RTL-LS-002,4,1,850000,700,100,128,4096,2048,4096,65536,2048,4096,4096,42089,42089,340,340,0,0,153;187;0;0,0;0;0;0,0;0;0;0,153;187;0;0,340,0.008078120173917175,0.008078120173917175,2043,2554,2,1,765,505970,1
marginal_b700_rho0900_f100_period4096,RTL-LS-002,4,1,900000,700,100,128,4096,2048,4096,65536,2048,4096,4096,46352,46352,867,867,0,0,255;255;136;221,0;0;0;0,0;0;0;0,255;255;136;221,850,0.018704694511563688,0.018337935795650673,2044,2552,2,1,814,505936,1
marginal_b700_rho0950_f100_period4096,RTL-LS-002,4,1,950000,700,100,128,4096,2048,4096,65536,2048,4096,4096,49395,49395,2210,2210,0,0,714;697;374;425,0;0;0;0,0;0;0;0,714;697;374;425,2398,0.044741370584067214,0.0485474238283227,2044,2555,2,1,849,506030,1
marginal_b700_rho1000_f100_period4096,RTL-LS-002,4,1,1000000,700,100,128,4096,2048,4096,65536,2048,4096,4096,51424,51424,3027,3027,0,0,442;765;782;1038,0;0;0;0,0;0;0;0,442;765;782;1038,3043,0.058863565650280024,0.05917470441817051,2044,2542,2,1,865,506065,1
