run_tag,case,sim_pass,burstiness,memory_index,traffic_regime,rho_lane,loss_probability
scan128_b200_rho0500,RTL-LS-002,0,0.2,0.0,periodic_whole_frame,0.5,0.8622039630251259
scan128_b200_rho0600,RTL-LS-002,0,0.2,0.0,periodic_whole_frame,0.6,0.8667020073012816
scan128_b200_rho0750,RTL-LS-002,0,0.2,0.0,periodic_whole_frame,0.75,0.8850049914411025
scan128_b200_rho0900,RTL-LS-002,0,0.2,0.0,periodic_whole_frame,0.9,0.8906654032491021
scan128_b200_rho1000,RTL-LS-002,0,0.2,0.0,periodic_whole_frame,1.0,0.8877586218963622
scan128_b200_rho1200,RTL-LS-002,0,0.2,0.0,periodic_whole_frame,1.2,0.8951968516540021
scan128_b200_rho1500,RTL-LS-002,0,0.2,0.0,periodic_whole_frame,1.5,0.8780641980050269
scan128_b200_rho2000,RTL-LS-002,0,0.2,0.0,periodic_whole_frame,2.0,0.8987466539914443
scan128_b200_rho3000,RTL-LS-002,0,0.2,0.0,periodic_whole_frame,3.0,0.9180137945361173
scan128_b200_rho4000,RTL-LS-002,1,0.2,0.0,periodic_whole_frame,4.0,0.9352383242386064
scan128_b200_rho6000,RTL-LS-002,1,0.2,0.0,periodic_whole_frame,6.0,0.9592109842892977
scan128_b200_rho8000,RTL-LS-002,0,0.2,0.0,periodic_whole_frame,8.0,0.9571434969767847
scan128_b300_rho0100,RTL-LS-002,0,0.3,0.0,periodic_whole_frame,0.1,0.8856944794051486
scan128_b300_rho0200,RTL-LS-002,0,0.3,0.0,periodic_whole_frame,0.2,0.8781811287618744
scan128_b300_rho0300,RTL-LS-002,0,0.3,0.0,periodic_whole_frame,0.3,0.8726253416595176
scan128_b300_rho0400,RTL-LS-002,0,0.3,0.0,periodic_whole_frame,0.4,0.8560157988150888
scan128_b300_rho0500,RTL-LS-002,0,0.3,0.0,periodic_whole_frame,0.5,0.8595898304780322
scan128_b300_rho0600,RTL-LS-002,0,0.3,0.0,periodic_whole_frame,0.6,0.8697482145055103
scan128_b300_rho0750,RTL-LS-002,0,0.3,0.0,periodic_whole_frame,0.75,0.8578653935868504
scan128_b300_rho0900,RTL-LS-002,0,0.3,0.0,periodic_whole_frame,0.9,0.872998461294527
scan128_b300_rho1000,RTL-LS-002,0,0.3,0.0,periodic_whole_frame,1.0,0.8837036482880726
scan128_b300_rho1200,RTL-LS-002,0,0.3,0.0,periodic_whole_frame,1.2,0.8774197035253283
scan128_b300_rho1500,RTL-LS-002,0,0.3,0.0,periodic_whole_frame,1.5,0.8921376078304571
scan128_b300_rho2000,RTL-LS-002,0,0.3,0.0,periodic_whole_frame,2.0,0.8940396954546679
scan128_b300_rho3000,RTL-LS-002,0,0.3,0.0,periodic_whole_frame,3.0,0.8608449759829816
scan128_b300_rho4000,RTL-LS-002,1,0.3,0.0,periodic_whole_frame,4.0,0.9304722621774278
scan128_b300_rho6000,RTL-LS-002,0,0.3,0.0,periodic_whole_frame,6.0,0.9408549806832361
scan128_b300_rho8000,RTL-LS-002,0,0.3,0.0,periodic_whole_frame,8.0,0.9523371949285112
scan128_b403_rho0100,RTL-LS-002,0,0.403,0.0,periodic_whole_frame,0.1,0.8875219577808338
scan128_b403_rho0200,RTL-LS-002,0,0.403,0.0,periodic_whole_frame,0.2,0.8816218786541765
scan128_b403_rho0300,RTL-LS-002,0,0.403,0.0,periodic_whole_frame,0.3,0.8693945538238811
scan128_b403_rho0400,RTL-LS-002,0,0.403,0.0,periodic_whole_frame,0.4,0.8642202971905132
scan128_b403_rho0500,RTL-LS-002,0,0.403,0.0,periodic_whole_frame,0.5,0.8504979704544524
scan128_b403_rho0600,RTL-LS-002,0,0.403,0.0,periodic_whole_frame,0.6,0.8667985231803149
scan128_b403_rho0750,RTL-LS-002,0,0.403,0.0,periodic_whole_frame,0.75,0.8673750468399946
scan128_b403_rho0900,RTL-LS-002,0,0.403,0.0,periodic_whole_frame,0.9,0.8723023364490657
scan128_b403_rho1000,RTL-LS-002,0,0.403,0.0,periodic_whole_frame,1.0,0.8808746674149309
scan128_b403_rho1200,RTL-LS-002,0,0.403,0.0,periodic_whole_frame,1.2,0.877550180815496
scan128_b403_rho1500,RTL-LS-002,0,0.403,0.0,periodic_whole_frame,1.5,0.8865663341698264
scan128_b403_rho2000,RTL-LS-002,0,0.403,0.0,periodic_whole_frame,2.0,0.868515073611599
scan128_b403_rho3000,RTL-LS-002,0,0.403,0.0,periodic_whole_frame,3.0,0.8749226538501139
scan128_b403_rho4000,RTL-LS-002,0,0.403,0.0,periodic_whole_frame,4.0,0.8772358974154084
scan128_b403_rho6000,RTL-LS-002,0,0.403,0.0,periodic_whole_frame,6.0,0.9401128219549091
scan128_b403_rho8000,RTL-LS-002,0,0.403,0.0,periodic_whole_frame,8.0,0.9366336751516161
scan128_b500_rho0100,RTL-LS-002,0,0.5,0.0,periodic_whole_frame,0.1,0.886414954839741
scan128_b500_rho0200,RTL-LS-002,0,0.5,0.0,periodic_whole_frame,0.2,0.8874927382359422
scan128_b500_rho0300,RTL-LS-002,0,0.5,0.0,periodic_whole_frame,0.3,0.8785879809208255
scan128_b500_rho0400,RTL-LS-002,0,0.5,0.0,periodic_whole_frame,0.4,0.8675621775583096
scan128_b500_rho0500,RTL-LS-002,0,0.5,0.0,periodic_whole_frame,0.5,0.8534219302175103
scan128_b500_rho0600,RTL-LS-002,0,0.5,0.0,periodic_whole_frame,0.6,0.8586525627502637
scan128_b500_rho0750,RTL-LS-002,0,0.5,0.0,periodic_whole_frame,0.75,0.8628795054588962
scan128_b500_rho0900,RTL-LS-002,0,0.5,0.0,periodic_whole_frame,0.9,0.8694204562471921
scan128_b500_rho1000,RTL-LS-002,0,0.5,0.0,periodic_whole_frame,1.0,0.8772918334667734
scan128_b500_rho1200,RTL-LS-002,0,0.5,0.0,periodic_whole_frame,1.2,0.8787276839324314
scan128_b500_rho1500,RTL-LS-002,0,0.5,0.0,periodic_whole_frame,1.5,0.8833678743539165
scan128_b500_rho2000,RTL-LS-002,0,0.5,0.0,periodic_whole_frame,2.0,0.8763400573489595
scan128_b500_rho3000,RTL-LS-002,0,0.5,0.0,periodic_whole_frame,3.0,0.8584888693497462
scan128_b500_rho4000,RTL-LS-002,0,0.5,0.0,periodic_whole_frame,4.0,0.8540017194497761
scan128_b500_rho6000,RTL-LS-002,0,0.5,0.0,periodic_whole_frame,6.0,0.9107759331331592
scan128_b500_rho8000,RTL-LS-002,1,0.5,0.0,periodic_whole_frame,8.0,0.9392296306632711
scan128_b600_rho0100,RTL-LS-002,0,0.6,0.0,periodic_whole_frame,0.1,0.8950934146783401
scan128_b600_rho0200,RTL-LS-002,0,0.6,0.0,periodic_whole_frame,0.2,0.889238777384862
scan128_b600_rho0300,RTL-LS-002,0,0.6,0.0,periodic_whole_frame,0.3,0.8814461824509928
scan128_b600_rho0400,RTL-LS-002,0,0.6,0.0,periodic_whole_frame,0.4,0.8704013094880133
scan128_b600_rho0500,RTL-LS-002,0,0.6,0.0,periodic_whole_frame,0.5,0.8537814419029056
scan128_b600_rho0600,RTL-LS-002,0,0.6,0.0,periodic_whole_frame,0.6,0.8584430860796655
scan128_b600_rho0750,RTL-LS-002,0,0.6,0.0,periodic_whole_frame,0.75,0.8798250857898726
scan128_b600_rho0900,RTL-LS-002,0,0.6,0.0,periodic_whole_frame,0.9,0.8693906156919088
scan128_b600_rho1000,RTL-LS-002,0,0.6,0.0,periodic_whole_frame,1.0,0.8739706630236431
scan128_b600_rho1200,RTL-LS-002,0,0.6,0.0,periodic_whole_frame,1.2,0.8717954866783572
scan128_b600_rho1500,RTL-LS-002,0,0.6,0.0,periodic_whole_frame,1.5,0.8748386297416877
scan128_b600_rho2000,RTL-LS-002,0,0.6,0.0,periodic_whole_frame,2.0,0.8753412872428771
scan128_b600_rho3000,RTL-LS-002,0,0.6,0.0,periodic_whole_frame,3.0,0.8524157590019683
scan128_b600_rho4000,RTL-LS-002,0,0.6,0.0,periodic_whole_frame,4.0,0.8502322278615588
scan128_b600_rho6000,RTL-LS-002,0,0.6,0.0,periodic_whole_frame,6.0,0.8610439913301758
scan128_b600_rho8000,RTL-LS-002,0,0.6,0.0,periodic_whole_frame,8.0,0.9061283767038414
scan128_b700_rho0100,RTL-LS-002,0,0.7,0.0,periodic_whole_frame,0.1,0.889274783739026
scan128_b700_rho0200,RTL-LS-002,0,0.7,0.0,periodic_whole_frame,0.2,0.8855772689606524
scan128_b700_rho0300,RTL-LS-002,0,0.7,0.0,periodic_whole_frame,0.3,0.8709913081435884
scan128_b700_rho0400,RTL-LS-002,0,0.7,0.0,periodic_whole_frame,0.4,0.8725158883283202
scan128_b700_rho0500,RTL-LS-002,0,0.7,0.0,periodic_whole_frame,0.5,0.8545575573892339
scan128_b700_rho0600,RTL-LS-002,0,0.7,0.0,periodic_whole_frame,0.6,0.8614973493302168
scan128_b700_rho0750,RTL-LS-002,0,0.7,0.0,periodic_whole_frame,0.75,0.8678026174752083
scan128_b700_rho0900,RTL-LS-002,0,0.7,0.0,periodic_whole_frame,0.9,0.8715166026762523
scan128_b700_rho1000,RTL-LS-002,0,0.7,0.0,periodic_whole_frame,1.0,0.8632710357269715
scan128_b700_rho1200,RTL-LS-002,0,0.7,0.0,periodic_whole_frame,1.2,0.8672695411026475
scan128_b700_rho1500,RTL-LS-002,0,0.7,0.0,periodic_whole_frame,1.5,0.8584520318391287
scan128_b700_rho2000,RTL-LS-002,0,0.7,0.0,periodic_whole_frame,2.0,0.869122178545526
scan128_b700_rho3000,RTL-LS-002,0,0.7,0.0,periodic_whole_frame,3.0,0.8683841167635985
scan128_b700_rho4000,RTL-LS-002,0,0.7,0.0,periodic_whole_frame,4.0,0.8416032152064105
scan128_b700_rho6000,RTL-LS-002,0,0.7,0.0,periodic_whole_frame,6.0,0.8409625796655545
scan128_b700_rho8000,RTL-LS-002,0,0.7,0.0,periodic_whole_frame,8.0,0.8719884492153629
