run_tag,mode,component,rank,frame,lane,shd,rtl_hits,tlm_hits,delta_hits,is_first_by_frame,notes
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_predrop_flag_hits,8,193,3,105,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=9 | tlm_ing_rows=1 tlm_lane_credit_min=-190 tlm_effective_min=0 tlm_ticket_credit_min=-599 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,controlled_predrop_exact_hits,1,238,3,118,0,5,5,0,rtl_ing_rows=1 rtl_drop_rows=1 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=-291 tlm_effective_min=0 tlm_ticket_credit_min=-857 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,controlled_predrop_exact_hits,2,240,3,126,0,5,5,0,rtl_ing_rows=1 rtl_drop_rows=1 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=-217 tlm_effective_min=0 tlm_ticket_credit_min=-771 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,controlled_predrop_exact_hits,3,249,0,77,0,5,5,0,rtl_ing_rows=1 rtl_drop_rows=1 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=-308 tlm_effective_min=0 tlm_ticket_credit_min=-924 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,controlled_predrop_exact_hits,4,249,1,54,0,5,5,0,rtl_ing_rows=1 rtl_drop_rows=1 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=-22 tlm_effective_min=0 tlm_ticket_credit_min=-596 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,controlled_predrop_exact_hits,5,256,2,117,0,5,5,0,rtl_ing_rows=1 rtl_drop_rows=1 rtl_lane_credit_min=9 rtl_lane_credit_max=9 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=-95 tlm_effective_min=0 tlm_ticket_credit_min=-605 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,controlled_predrop_exact_hits,6,178,0,56,0,4,4,0,rtl_ing_rows=1 rtl_drop_rows=1 rtl_lane_credit_min=5 rtl_lane_credit_max=5 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=-468 tlm_effective_min=0 tlm_ticket_credit_min=-744 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,controlled_predrop_exact_hits,7,178,0,94,0,4,4,0,rtl_ing_rows=1 rtl_drop_rows=1 rtl_lane_credit_min=5 rtl_lane_credit_max=5 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=-469 tlm_effective_min=0 tlm_ticket_credit_min=-751 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,controlled_predrop_exact_hits,8,181,3,43,0,4,4,0,rtl_ing_rows=1 rtl_drop_rows=1 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=-323 tlm_effective_min=0 tlm_ticket_credit_min=-721 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,pa_load_hits,1,171,3,27,0,6,6,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,pa_load_hits,2,173,0,56,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,pa_load_hits,3,186,0,11,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,pa_load_hits,4,189,3,34,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,pa_load_hits,5,194,0,79,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,pa_load_hits,6,194,3,48,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,pa_load_hits,7,194,3,105,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,pa_load_hits,8,208,3,35,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_pa_action_hits,1,173,0,56,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_pa_action_hits,2,186,0,11,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_pa_action_hits,3,189,3,34,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_pa_action_hits,4,220,1,57,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_pa_action_hits,5,231,1,38,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_pa_action_hits,6,231,2,75,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_pa_action_hits,7,241,0,3,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_pa_action_hits,8,251,1,28,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_control_exact_hits,1,173,0,56,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_control_exact_hits,2,186,0,11,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_control_exact_hits,3,189,3,34,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_control_exact_hits,4,220,1,57,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_control_exact_hits,5,231,1,38,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_control_exact_hits,6,231,2,75,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_control_exact_hits,7,241,0,3,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_control_exact_hits,8,251,1,28,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,transaction_deliver_hits,1,189,-1,40,0,10,10,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,transaction_deliver_hits,2,199,-1,20,0,10,10,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,transaction_deliver_hits,3,231,-1,38,0,10,10,0,
